value,ignore,type,docRequired,selRequired,minVersion,maxVersion,en,de,ru,notes
about,FALSE,config,FALSE,FALSE,,,About Ai Command Palette...,Über Kurzbefehle …,Об Ai Command Palette,
builtinCommands,FALSE,config,FALSE,FALSE,,,Built-in Commands...,,,
clearHistory,FALSE,config,FALSE,FALSE,,,Clear History,Die letzten Befehle löschen,,
customizeStartup,FALSE,config,FALSE,FALSE,,,Customize Startup Commands...,Customize Startup Commands...,,
deleteCommand,FALSE,config,FALSE,FALSE,,,Delete Commands...,Befehle löschen …,Удалить команды,
enableFuzzyMatching,FALSE,config,FALSE,FALSE,,,Enable Fuzzy Matching,,,
disableFuzzyMatching,FALSE,config,FALSE,FALSE,,,Disable Fuzzy Matching,,,
enableDebugLogging,FALSE,config,FALSE,FALSE,,,Enable Debug Logging,,,
disableDebugLogging,FALSE,config,FALSE,FALSE,,,Disable Debug Logging,,,
disableTypeInSearch,TRUE,config,FALSE,FALSE,,,Disable Searching on Command Type,,,
enableTypeInSearch,TRUE,config,FALSE,FALSE,,,Enable Searching on Command Type,,,
hideCommand,FALSE,config,FALSE,FALSE,,,Hide Commands...,Befehle ausblenden …,Скрыть команды,
revealPrefFile,FALSE,config,FALSE,FALSE,,,Reveal Preferences File,Einstellungen-Datei anzeigen,Показать файл настроек,
removeWatchedFolders,FALSE,config,FALSE,FALSE,,,Remove Watched Folder(s)...,,,
settings,FALSE,config,FALSE,FALSE,,,Ai Command Palette Settings...,Kurzbefehle – Einstellungen …,Настройки,
unhideCommand,FALSE,config,FALSE,FALSE,,,Unhide Commands...,Befehle einblenden …,Показать команды,
