Command Name,Command Action,Command Type
Astute Graphics - Arc by Points,Arc by Points Tool,tool
Astute Graphics - Block Shadow,AG Block Shadow Tool,tool
Astute Graphics - Circle by Points,Circle by Points Tool,tool
Astute Graphics - Color Select,AG Color Select Tool,tool
Astute Graphics - Connect,Connect Tool,tool
Astute Graphics - Crop Image,Crop Image Tool,tool
Astute Graphics - Curvature Circle,Curvature Circle Tool,tool
Astute Graphics - Dynamic Corners,Dynamic Corners Tool,tool
Astute Graphics - Dynamic Measure,Dynamic Measure Tool,tool
Astute Graphics - Dynamic Shapes,Dynamic Shapes Tool,tool
Astute Graphics - Dynamic Sketch,Dynamic Sketch Tool,tool
Astute Graphics - Extend Path,Extend Path Tool,tool
Astute Graphics - Gradient From Art,Gradient From Art Tool,tool
Astute Graphics - Inflate Deflate,Inflate Deflate Tool,tool
Astute Graphics - InkFlow,InkFlow Tool,tool
Astute Graphics - InkScribe,InkScribe Tool,tool
Astute Graphics - Lock Unlock,Lock Unlock Tool,tool
Astute Graphics - MirrorMe,MirrorMe Tool,tool
Astute Graphics - Offset,AG Offset Tool,tool
Astute Graphics - Opacity Brush,OpacityBrushTool,tool
Astute Graphics - Orient,Orient Tool,tool
Astute Graphics - Orient Transform,Orient Transform Tool,tool
Astute Graphics - PathScribe,PathScribe Tool,tool
Astute Graphics - Perpendicular Line,Perpendicular Line Tool,tool
Astute Graphics - Quick Orient,Quick Orient Tool,tool
Astute Graphics - Randomini,RandominiTool,tool
Astute Graphics - Randomino Start Point,Reference Point Setter Tool,tool
Astute Graphics - Reform,Reform Tool,tool
Astute Graphics - Reform Text,Reform Text Tool,tool
Astute Graphics - Reprofile,Reprofile Tool,tool
Astute Graphics - Reposition Point,Reposition Point Tool,tool
Astute Graphics - Rotate At Collision,Rotate At Collision Tool,tool
Astute Graphics - Rotate To Collision,Rotate To Collision Tool,tool
Astute Graphics - Smart Remove Brush,Smart Remove Brush Tool,tool
Astute Graphics - Snap To Collisions,Snap To Collisions Tool,tool
Astute Graphics - Straighten,Straighten Tool,tool
Astute Graphics - Stylism,Stylism Tool,tool
Astute Graphics - Super Marquee,Super Marquee Tool,tool
Astute Graphics - Tangent Circle,Tangent Circle Tool,tool
Astute Graphics - Tangent Line,Tangent Line Tool,tool
Astute Graphics - Texture,TextureTool,tool
Astute Graphics - Texture Brush,TextureBrushTool,tool
Astute Graphics - Trim and Join,AG Trim and Join Tool,tool
Astute Graphics - Width Brush,Width Brush Tool,tool
Astute Graphics - Width Eraser,Width Eraser Tool,tool
Astute Graphics - Width Gradient,Width Gradient Tool,tool
Astute Graphics - Width Selector,Width Selector Tool,tool
