English,Translation
Ai Command Palette,Kurzbefehle
Command Palette Settings...,Kurzbefehle – Einstellungen …
About Ai Command Palette...,Über Kurzbefehle …
Build Workflow...,Arbeitsablauf erstellen …
Edit Workflow...,Arbeitsablauf bearbeiten …
Workflows Needing Attention...,Achtung …
Load Scripts...,Skripte laden …
Show All Built-In Menu Commands...,Alle integrierten Menübefehle anzeigen …
Show All Built-In Tools...,Alle integrierten Werkzeuge anzeigen …
Hide Commands...,Befehle ausblenden …
Reveal Commands...,Befehle einblenden …
Delete Commands...,Befehle löschen …
Reveal Preferences File,Einstellungen-Datei anzeigen
AiCommandPalette.json,Kurzbefehle.json
**DELETED**,**GELÖSCHT**
Workflow needs attention.\nThe following action steps from your workflow are are no longer available.\n\n,Achtung: Die folgenden Aktionen in Ihrem Arbeitsablauf sind nicht mehr verfügbar.\n\n,
Workflow needs attention.\nThe following action steps from your workflow are incompatible with your version of Illustrator.\n\n,Achtung: Die folgenden Aktionen in Ihrem Arbeitsablauf sind mit Ihrer Illustrator-Version inkompatibel.\n\n
Command was deleted.\nEdit any workflows where it was used.\n\n,"Der Befehl wurde gelöscht.\nBearbeiten Sie die Arbeitsabläufe, in denen er benutzt wurde.\n\n"
Error executing command:\n,Fehler beim Ausführen des Befehls:\n
Error selecting tool:\n,Fehler beim Auswählen des Werkzeugs:\n
Error executing action:\n,Fehler beim Ausführen der Aktion:\n
Script no longer exists at original path.\n,Skript existiert nicht mehr am ursprünglichen Ort.\n
Script:,Skript:
Error executing script:\n,Fehler beim Ausführen des Skripts:\n
Invalid command type:\n,Ungültiger Befehlstyp:\n
Invalid configuration option:\n,Ungültige Konfigurationsoption:\n
Cancel,Abbrechen
About,Über Kurzbefehle …
About Ai Command Palette,Kurzbefehle
"Boost your Adobe Illustrator efficiency with quick access to most menu commands and tools, all of your actions, and any scripts right from your keyboard. And, with custom workflows, you can combine multiple commands, actions, and scripts to get things done in your own way. Replace repetitive tasks with workflows and boost your productivity.","Steigern Sie Ihre Effizienz in Adobe Illustrator mit schnellem Zugriff auf die meisten Menübefehle und Werkzeuge sowie alle Aktionen und Skripte, die direkt über die Tastatur ausgeführt werden können. Mit benutzerdefinierten Arbeitsabläufen können Sie mehrere Befehle, Aktionen und Skripte kombinieren. Erledigen Sie wiederkehrende Aufgaben mit Arbeitsabläufen und steigern Sie Ihre Produktivität."
Click here to learn more:,Klicken Sie hier für weitere Informationen:
Palette Settings and Configuration,Paletteneinstellungen und -konfiguration
Load Script Files,Skriptdateien laden
Script already loaded.\nWould you like to replace the previous script with the new one?,Skript bereits geladen.\nMöchten Sie es ersetzen?
Script Load Conflict,Skriptladekonflikt
Total scripts loaded:\n,Geladene Skripte insgesamt:\n
No script files selected.\nMust be JavaScript '.js' or '.jsx' files.,Keine Skriptdateien ausgewählt.\nEs müssen JavaScript-'.js'- oder '.jsx'-Dateien sein.
Workflow Builder,Arbeitsabläufe erstellen
A workflow with that name already exists.\nWould you like to overwrite the previous workflow with the new one?,Ein Arbeitsablauf mit diesem Namen existiert bereits.\nSoll der bestehende Arbeitsablauf überschrieben werden?
Save Workflow Conflict,Arbeitsablauf-Konflikt speichern?
Enter a new name for your workflow.,Geben Sie einen neuen Namen für den Arbeitsablauf an.
New Workflow Name,Name des neuen Arbeitsablaufs
Workflow not saved.,Arbeitsablauf nicht gespeichert
Error saving workflow:\n,Fehler beim Speichern des Arbeitsablaufs:\n
Choose A Workflow To Edit,Wählen Sie einen Arbeitsablauf zum Bearbeiten aus.
There are no workflows to edit.,Es gibt keine Arbeitsabläufe zum Bearbeiten.
There are no workflows that need attention.,"Es gibt keine Arbeitsabläufe, die beachtet werden müssen."
All Built-In Menu Commands,Alle integrierten Menübefehle
All Built-In Tools,Alle integrierten Werkzeuge
No tools are currently available.,Zurzeit sind keine Werkzeuge verfügbar.
Select Menu Commands To Hide,Wählen Sie die auszublendenden Menübefehle aus.
Hide Commands?\n,Befehle ausblenden?\n
Confirm Commands To Hide,Auszublendende Befehle bestätigen
Total commands hidden:,Gesamtzahl der ausgeblendeten Befehle:
There are no commands to hide.,Es gibt keine Befehle zum Ausblenden.
Select Hidden Menu Commands To Reveal,"Wählen Sie die ausgeblendeten Menübefehle aus, die angezeigt werden sollen."
Reveal Hidden Commands?\n,Verborgene Befehle anzeigen?
Confirm Commands To Reveal,Die ausgewählten Befehle anzeigen?
Total hidden commands revealed:\n,"Anzahl der verborgenen Befehle, die wieder angezeigt werden:\n"
There are no hidden commands to reveal.,Keine verborgenen Befehle vorhanden.
Select Menu Commands To Delete,Wählen Sie die zu löschenden Menübefehle aus.
Delete Commands?\nDeleted commands will longer work in any workflows you previously created where they were used as a step.\n\n,Befehle löschen?\nGelöschte Befehle werden in bestehenden Arbeitsabläufen nicht mehr funktionieren.\n\n
Confirm Commands To Delete,Bestätigen Sie die zu löschenden Befehle.
Command couldn't be deleted.,Befehl konnte nicht gelöscht werden.
Total commands deleted:\n,Insgesamt gelöschte Befehle:
There are no commands to delete.,Es gibt keine Befehle zum Löschen.
"Search for commands, actions, and loaded scripts.","Befehle, Aktionen und geladene Skripte suchen."
Cancel,Abbrechen
Workflow:,Arbeitsablauf:
Search For Commands,Befehle suchen.
Double-click a command to add it as a workflow step below.,"Doppelklicken Sie auf einen Befehl, um ihn unten als benutzerdefinierten Schritt hinzuzufügen."
Workflow Steps,Befehlskombinationen
Workflows will run in order from top to bottom.,Die Befehlskombinationen werden in der Reihenfolge von oben nach unten ausgeführt.
Move Up,Nach oben
Move Down,Nach unten
Delete,Löschen
Save Workflow As,Arbeitsablauf speichern als
Action:,Aktion:
Error loading script:\n,Fehler beim Laden des Skripts:\n
Error loading file:\n,Fehler beim Laden der Datei:\n
Error writing file:\n,Fehler beim Schreiben der Datei\n:
File > New...,Datei > Neu …
File > New from Template...,Datei > Neu aus Vorlage …
File > Open...,Datei > Öffnen …
File > Browse in Bridge...,Datei > Bridge durchsuchen …
File > Close,Datei > Schließen
File > Save,Datei > Speichern
File > Save As...,Datei > Speichern unter …
File > Save a Copy...,Datei > Kopie speichern …
File > Save as Template...,Datei > Als Vorlage speichern …
File > Save Selected Slices...,Datei > Ausgewählte Slices speichern …
File > Revert,Datei > Zurück zur letzten Version
File > Search Adobe Stock,Datei > Adobe Stock durchsuchen …
File > Place...,Datei > Platzieren …
File > Export > Export For Screens...,Datei > Exportieren > Für Bildschirme exportieren …
File > Export > Export As...,Datei > Exportieren …
File > Export > Save for Web (Legacy)...,Datei > Für Web speichern (Legacy) …
File > Export Selection...,Datei > Auswahl exportieren …
File > Package,Datei > Verpacken …
File > Scripts > Other Script...,Datei > Skripten > Anderes Skript …
File > Document Setup...,Datei > Dokument einrichten …
File > Document Color Mode > CMYK Color,Datei > Dokumentfarbmodus > CMYK-Farbe
File > Document Color Mode > RGB Color,Datei > Dokumentfarbmodus > RGB-Farbe
File > File Info...,Datei > Dateiinformationen …
File > Print...,Datei > Drucken …
File > Exit,Datei > Illustrator beenden
Edit > Undo,Bearbeiten > Rückgängig
Edit > Redo,Bearbeiten > Wiederholen
Edit > Cut,Bearbeiten > Ausschneiden
Edit > Copy,Bearbeiten > Kopieren
Edit > Paste,Bearbeiten > Einfügen
Edit > Paste in Front,Bearbeiten > Davor einfügen
Edit > Paste in Back,Bearbeiten > Dahinter einfügen
Edit > Paste in Place,Bearbeiten > An Originalposition einfügen
Edit > Paste on All Artboards,Bearbeiten > In alle Zeichenflächen einfügen
Edit > Paste without Formatting,Bearbeiten > Ohne Formatierung einfügen
Edit > Clear,Bearbeiten > Löschen
Edit > Find & Replace...,Bearbeiten > Suchen und ersetzen …
Edit > Find Next,Bearbeiten > Weitersuchen
Edit > Spelling > Auto Spell Check,Bearbeiten > Rechtschreibung > Automatische Rechtschreibprüfung
Edit > Spelling > Check Spelling...,Bearbeiten > Rechtschreibung > Rechtschreibprüfung …
Edit > Edit Custom Dictionary...,Bearbeiten > Eigenes Wörterbuch bearbeiten …
Edit > Edit Colors > Recolor Artwork...,Bearbeiten > Farben bearbeiten > Bildmaterial neu färben …
Edit > Edit Colors > Adjust Color Balance...,Bearbeiten > Farben bearbeiten > Farbbalance einstellen …
Edit > Edit Colors > Blend Front to Back,Bearbeiten > Farben bearbeiten > Vorne -> Hinten angleichen
Edit > Edit Colors > Blend Horizontally,Bearbeiten > Farben bearbeiten > Horizontal angleichen
Edit > Edit Colors > Blend Vertically,Bearbeiten > Farben bearbeiten > Vertikal angleichen
Edit > Edit Colors > Convert to CMYK,Bearbeiten > Farben bearbeiten > In CMYK konvertieren
Edit > Edit Colors > Convert to Grayscale,Bearbeiten > Farben bearbeiten > In Graustufen konvertieren
Edit > Edit Colors > Convert to RGB,Bearbeiten > Farben bearbeiten > In RGB konvertieren
Edit > Edit Colors > Invert Colors,Bearbeiten > Farben bearbeiten > Farben invertieren
Edit > Edit Colors > Overprint Black...,Bearbeiten > Farben bearbeiten > Schwarz überdrucken …
Edit > Edit Colors > Saturate...,Bearbeiten > Farben bearbeiten > Sättigung erhöhen …
Edit > Edit Original,Bearbeiten > Original bearbeiten
Edit > Transparency Flattener Presets...,Bearbeiten > Transparenzreduzierungsvorgaben …
Edit > Print Presets...,Bearbeiten > Druckvorgaben …
Edit > Adobe PDF Presets...,Bearbeiten > Adobe PDF-Vorgaben …
Edit > Perspective Grid Presets...,Bearbeiten > Vorgaben für Perspektivenraster …
Edit > Color Settings...,Bearbeiten > Farbeinstellungen …
Edit > Assign Profile...,Bearbeiten > Profil zuweisen …
Edit > Keyboard Shortcuts...,Bearbeiten > Tastaturbefehle …
Object > Transform > Transform Again,Objekt > Transformieren > Erneut transformieren
Object > Transform > Move...,Objekt > Transformieren > Verschieben …
Object > Transform > Rotate...,Objekt > Transformieren > Drehen …
Object > Transform > Reflect...,Objekt > Transformieren > Spiegeln …
Object > Transform > Scale...,Objekt > Transformieren > Skalieren …
Object > Transform > Shear...,Objekt > Transformieren > Verbiegen …
Object > Transform Each...,Objekt > Transformieren > Einzeln transformieren …
Object > Transform > Reset Bounding Box,Objekt > Transform > Begrenzungsrahmen zurücksetzen
Object > Arrange > Bring to Front,Objekt > Anordnen > In den Vordergrund
Object > Arrange > Bring Forward,Objekt > Anordnen > Schrittweise nach vorne
Object > Arrange > Send Backward,Objekt > Anordnen > Schrittweise nach hinten
Object > Arrange > Send to Back,Objekt > Anordnen > In den Hintergrund
Object > Arrange > Send to Current Layer,Objekt > Anordnen > In aktuelle Ebene verschieben
Object > Align > Horizontal Align Left,Objekt > Ausrichten > Horizontal links ausrichten
Object > Align > Horizontal Align Center,Objekt > Ausrichten > Horizontal zentriert ausrichten
Object > Align > Horizontal Align Right,Objekt > Ausrichten > Horizontal rechts ausrichten
Object > Align > Vertical Align Top,Objekt > Ausrichten > Vertikal oben ausrichten
Object > Align > Vertical Align Center,Objekt > Ausrichten > Vertikal zentriert ausrichten
Object > Align > Vertical Align Bottom,Objekt > Ausrichten > Vertikal unten ausrichten
Object > Group,Objekt > Gruppieren
Object > Ungroup,Objekt > Gruppierung aufheben
Object > Lock > Selection,Objekt > Sperren > Auswahl
Object > Lock > All Artwork Above,Objekt > Sperren > Sämtliches Bildmaterial darüber
Object > Lock > Other Layers,Objekt > Sperren > Andere Ebenen
Object > Unlock All,Objekt > Alle entsperren
Object > Hide > Selection,Objekt > Ausblenden > Auswahl
Object > Hide > All Artwork Above,Objekt > Ausblenden > Sämtliches Bildmaterial darüber
Object > Hide > Other Layers,Objekt > Ausblenden > Andere Ebenen
Object > Show All,Objekt > Alles einblenden
Object > Crop Image,Objekt > Bild zuschneiden
Object > Rasterize...,Objekt > In Pixelbild umwandeln …
Object > Create Gradient Mesh...,Objekt > Verlaufsgitter erstellen …
Object > Create Object Mosaic...,Objekt > Objektmosaik erstellen …
Object > Create Trim Marks...,Objekt > Schnittmarken erstellen
Object > Flatten Transparency...,Objekt > Transparenz reduzieren …
Object > Make Pixel Perfect,Objekt > Pixelgenaue Darstellung anwenden
Object > Slice > Make,Objekt > Slice > Erstellen
Object > Slice > Release,Objekt > Slice > Zurückwandeln
Object > Slice > Create from Guides,Objekt > Slice > Aus Hilfslinien erstellen
Object > Slice > Create from Selection,Objekt > Slice > Aus Auswahl erstellen
Object > Slice > Duplicate Slice,Objekt > Slice > Slice duplizieren
Object > Slice > Combine Slices,Objekt > Slice > Slices kombinieren
Object > Slice > Divide Slices...,Objekt > Slice > Slices unterteilen …
Object > Slice > Delete All,Objekt > Slice > Alle löschen
Object > Slice > Slice Options...,Objekt > Slice > Slice-Optionen …
Object > Slice > Clip to Artboard,Objekt > Slice > Ganze Zeichenfläche exportieren
Object > Expand...,Objekt > Umwandeln …
Object > Expand Appearance,Objekt > Aussehen umwandeln
Object > Path > Join,Objekt > Pfad > Zusammenfügen
Object > Path > Average...,Objekt > Pfad > Durchschnitt berechnen …
Object > Path > Outline Stroke,Objekt > Pfad > Konturlinie
Object > Path > Offset Path...,Objekt > Pfad > Pfad verschieben …
Object > Path > Reverse Path Direction,Objekt > Pfad > Pfadrichtung umkehren
Object > Path > Simplify...,Objekt > Pfad > Vereinfachen …
Object > Path > Add Anchor Points,Objekt > Pfad > Ankerpunkte hinzufügen
Object > Path > Remove Anchor Points,Objekt > Pfad > Ankerpunkte entfernen
Object > Path > Divide Objects Below,Objekt > Pfad > Darunter liegende Objekte aufteilen
Object > Path > Split Into Grid...,Objekt > Pfad > In Raster teilen …
Object > Path > Clean Up...,Objekt > Pfad > Aufräumen …
Object > Shape > Convert to Shapes,Objekt > Form > In Form umwandeln
Object > Shape > Expand Shapes,Objekt > Form > Form umwandeln
Object > Pattern > Make,Objekt > Muster > Erstellen
Object > Pattern > Edit Pattern,Objekt > Muster > Muster bearbeiten
Object > Pattern > Tile Edge Color...,Objekt > Muster > Farbe für Musterelement-Kante
Object > Repeat > Make Radial,Objekt > Wiederholen > Radial
Object > Repeat > Make Grid,Objekt > Wiederholen > Raster
Object > Repeat > Make Symmetry,Objekt > Wiederholen > Spiegeln
Object > Repeat > Release,Objekt > Wiederholen > Zurückwandeln
Object > Repeat > Repeat Art Options...,Objekt > Wiederholen > Optionen …
Object > Blend > Make,Objekt > Angleichen > Erstellen
Object > Blend > Release,Objekt > Angleichen > Zurückwandeln
Object > Blend > Blend Options...,Objekt > Angleichen > Angleichung-Optionen …
Object > Blend > Expand,Objekt > Angleichen > Umwandeln
Object > Blend > Replace Spine,Objekt > Angleichen > Achse ersetzen
Object > Blend > Reverse Spine,Objekt > Angleichen > Achse umkehren
Object > Blend > Reverse Front to Back,Objekt > Angleichen > Farbrichtung umkehren
Object > Envelope Distort > Make with Warp...,Objekt > Verzerrungshülle > Mit Verkrümmung erstellen …
Object > Envelope Distort > Make with Mesh...,Objekt > Verzerrungshülle > Mit Gitter erstellen …
Object > Envelope Distort > Make with Top Object,Objekt > Verzerrungshülle > Mit oberstem Objekt erstellen
Object > Envelope Distort > Release,Objekt > Verzerrungshülle > Zurückwandeln
Object > Envelope Distort > Envelope Options...,Objekt > Verzerrungshülle > Hüllen-Optionen …
