English,Translation
Ai Command Palette,
Command Palette Settings...,Настройки
About Ai Command Palette...,Об Ai Command Palette
Build Workflow...,Создать набор команд
Edit Workflow...,Редактировать набор команд
Workflows Needing Attention...,Наборы требующие внимания
Load Scripts...,Загрузить скрипты
Show All Built-In Menu Commands...,Показать стандартные команды меню
Show All Built-In Tools...,Показать стандартные инструменты
Hide Commands...,Скрыть команды
Reveal Commands...,Показать команды
Delete Commands...,Удалить команды
Reveal Preferences File,Показать файл настроек
AiCommandPalette.json,
**DELETED**,**УДАЛЕНО**
Workflow needs attention.\nThe following action steps from your workflow are are no longer available.\n\n,Внимание\nУказанные шаги в вашем наборе команд больше недоступны\n\n
Workflow needs attention.\nThe following action steps from your workflow are incompatible with your version of Illustrator.\n\n,Внимание\nУказанные шаги в вашем наборе команд несовместимы с этой версией Illustrator\n\n
Command was deleted.\nEdit any workflows where it was used.\n\n,"Команда удалена\nОтредактируйте наборы, в которых она использовалась\n\n"
Error executing command:\n,Ошибка запуска команды:\n
Error selecting tool:\n,Ошибка выбора инструмента:\n
Error executing action:\n,Ошибка запуска операции:\n
Script no longer exists at original path.\n,Скрипт не найден в указанной папке\n
Script:,Скрипт:
Error executing script:\n,Ошибка запуска скрипта:\n
Invalid command type:\n,Неправильный тип:\n
Invalid configuration option:\n,Неправильный параметр конфигурации:\n
Cancel,Отмена
About,О скрипте
About Ai Command Palette,Об Ai Command Palette
"Boost your Adobe Illustrator efficiency with quick access to most menu commands and tools, all of your actions, and any scripts right from your keyboard. And, with custom workflows, you can combine multiple commands, actions, and scripts to get things done in your own way. Replace repetitive tasks with workflows and boost your productivity.","Повысьте скорость работы в Adobe Illustrator благодаря быстрому доступу к большинству команд меню, инструментам, всем операциям и любым загруженным скриптам прямо с клавиатуры. А пользовательские наборы позволяют комбинировать несколько команд, операций и скриптов. Замените повторяющиеся задачи наборами команд и повысьте свою производительность."
Click here to learn more:,"Нажмите, чтобы узнать больше:"
Palette Settings and Configuration,Настройка и конфигурация панели
Load Script Files,Загрузка файлов скриптов
Script already loaded.\nWould you like to replace the previous script with the new one?,Скрипт уже загружен\nХотите его заменить?
Script Load Conflict,Проблема загрузки скрипта
Total scripts loaded:\n,Загружено скриптов:\n
No script files selected.\nMust be JavaScript '.js' or '.jsx' files.,Не выбраны скрипты\nФайлы JavaScript имеют расширение '.js' или '.jsx'
Workflow Builder,Редактор наборов команд
A workflow with that name already exists.\nWould you like to overwrite the previous workflow with the new one?,Набор с таким именем уже существует\nХотите перезаписать предыдущий?
Save Workflow Conflict,Проблема сохранения набора
Enter a new name for your workflow.,Введите новое имя набора
New Workflow Name,Имя нового набора
Workflow not saved.,Набор не сохранен
Error saving workflow:\n,Ошибка сохранения набора:\n
Choose A Workflow To Edit,Выберите набор для редактирования
There are no workflows that need attention.,Нет наборов требующих внимания
All Built-In Menu Commands,Стандартные команды меню
All Built-In Tools,Стандартные инструменты
Select Menu Commands To Hide,Выбрать команды меню для скрытия
Hide Commands?\n,Скрыть команды?\n
Confirm Commands To Hide,Подтвердить скрытие команд
Total commands hidden:,Скрыто команд:
There are no commands to hide.,Нет команд для скрытия
Select Hidden Menu Commands To Reveal,Выберите скрытые команды для показа
Reveal Hidden Commands?\n,Показать скрытые команды?\n
Confirm Commands To Reveal,Подтвердить показ команд
Total hidden commands revealed:\n,Показано скрытых команд:\n
There are no hidden commands to reveal.,Нет скрытых команд
Select Menu Commands To Delete,Выбрать команды меню для удаления
