key,type,,maxVersion,en,de,ru
about,string,,,About,Über Kurzbefehle …,О скрипте
ac_error_execution,string,,,Error executing action:\n%1\n\n%2,Fehler beim Ausführen der Aktion:\n%1\n\n%2,Ошибка запуска операции:\n%1\n\n%2
cancel,string,,,Cancel,Abbrechen,Отмена
cd_all,string,,,All Built-In Menu Commands,Alle integrierten Menübefehle,Стандартные команды меню
cd_delete_confirm,string,,,Delete Commands?\nDeleted commands will longer work in any workflows you previously created where they were used as a step.\n\n%1,Befehle löschen?\nGelöschte Befehle werden in bestehenden Arbeitsabläufen nicht mehr funktionieren.\n\n%1,"Удалить команду?\nУдаленные команды больше не будут работать в любых созданных наборах, где они использовались\n\n%1"
cd_delete_confirm_title,string,,,Confirm Commands To Delete,Bestätigen Sie die zu löschenden Befehle.,Подтвердить удаление команд
cd_delete_select,string,,,Select Menu Commands To Delete,Wählen Sie die zu löschenden Menübefehle aus.,Выбрать команды меню для удаления
cd_error_delete,string,,,Command couldn't be deleted.\n%1,Befehl konnte nicht gelöscht werden.\n%1,Команда не может быть удалена\n%1
cd_error_executing,string,,,Error executing command:\n%1\n\n%2,Fehler beim Ausführen des Befehls:\n%1\n\n%2,Ошибка запуска команды:\n%1\n\n%2
cd_helptip,string,,,Double-click a command to add it as a workflow step below.,"Doppelklicken Sie auf einen Befehl, um ihn unten als benutzerdefinierten Schritt hinzuzufügen.","Нажмите дважды на команду, чтобы добавить ее как шаг набора"
cd_hide_confirm_title,string,,,Confirm Commands To Hide,Auszublendende Befehle bestätigen,Подтвердить скрытие команд
cd_hide_select,string,,,Select Menu Commands To Hide,Wählen Sie die auszublendenden Menübefehle aus.,Выбрать команды меню для скрытия
cd_invalid,string,,,Invalid command type:\n%1,Ungültiger Befehlstyp:\n%1,Неправильный тип:\n%1
cd_none_delete,string,,,There are no commands to delete.,Es gibt keine Befehle zum Löschen.,Нет команд для удаления
cd_none_hide,string,,,There are no commands to hide.,Es gibt keine Befehle zum Ausblenden.,Нет команд для скрытия
cd_none_reveal,string,,,There are no hidden commands to reveal.,Keine verborgenen Befehle vorhanden.,Нет скрытых команд
cd_q_helptip,string,,,"Search for commands, actions, and loaded scripts.","Befehle, Aktionen und geladene Skripte suchen.","Поиск команд, операций и загруженных скриптов"
cd_reveal_confirm,string,,,Unhide Commands?\n%1,Verborgene Befehle anzeigen?\n%1,Показать скрытые команды?\n%1
cd_reveal_confirm_title,string,,,Confirm Commands To Unhide,Die ausgewählten Befehle anzeigen?,Подтвердить показ команд
cd_reveal_menu_select,string,,,Select Hidden Menu Commands To Unhide,"Wählen Sie die ausgeblendeten Menübefehle aus, die angezeigt werden sollen.",Выберите скрытые команды для показа
cd_revealed_total,string,,,Total hidden commands revealed:\n%1,"Anzahl der verborgenen Befehle, die wieder angezeigt werden:\n%1",Показано скрытых команд:\n%1
cd_search_for,string,,,"Search for commands, actions, and loaded scripts.","Befehle, Aktionen und geladene Skripte suchen.","Поиск команд, операций и загруженных скриптов"
copyright,string,,,Copyright 2022 Josh Duncan,,
cp_config,string,,,Palette Settings and Configuration,Paletteneinstellungen und -konfiguration,Настройка и конфигурация панели
cp_q_helptip,string,,,"Search for commands, actions, and loaded scripts.","Befehle, Aktionen und geladene Skripte suchen.","Поиск команд, операций и загруженных скриптов"
