value,ignore,type,minVersion,maxVersion,en,de,ru
new,FALSE,menu,,,File > New...,Datei > Neu …,Файл > Новый...
newFromTemplate,FALSE,menu,,,File > New from Template...,Datei > Neu aus Vorlage …,Файл > Новый из шаблона...
open,FALSE,menu,,,File > Open...,Datei > Öffnen …,Файл > Открыть...
Adobe Bridge Browse,FALSE,menu,,,File > Browse in Bridge...,Datei > Bridge durchsuchen …,Файл > Обзор в Bridge...
close,FALSE,menu,,,File > Close,Datei > Schließen,Файл > Закрыть
save,FALSE,menu,,,File > Save,Datei > Speichern,Файл > Сохранить
saveas,FALSE,menu,,,File > Save As...,Datei > Speichern unter …,Файл > Сохранить как...
saveacopy,FALSE,menu,,,File > Save a Copy...,Datei > Kopie speichern …,Файл > Сохранить копию...
saveastemplate,FALSE,menu,,,File > Save as Template...,Datei > Als Vorlage speichern …,Файл > Сохранить как шаблон...
Adobe AI Save Selected Slices,FALSE,menu,,,File > Save Selected Slices...,Datei > Ausgewählte Slices speichern …,Файл > Файл > Сохранить выделенные фрагменты...
revert,FALSE,menu,,,File > Revert,Datei > Zurück zur letzten Version,Файл > Восстановить
Search Adobe Stock,FALSE,menu,19,,File > Search Adobe Stock,Datei > Adobe Stock durchsuchen …,Файл > Поиск в Adobe Stock...
AI Place,FALSE,menu,,,File > Place...,Datei > Platzieren …,Файл > Поместить...
exportForScreens,FALSE,menu,20,,File > Export > Export For Screens...,Datei > Exportieren > Für Bildschirme exportieren …,Файл > Экспорт для экранов...
export,FALSE,menu,,,File > Export > Export As...,Datei > Exportieren …,Файл > Экспортировать как...
Adobe AI Save For Web,FALSE,menu,,,File > Export > Save for Web (Legacy)...,Datei > Für Web speichern (Legacy) …,Файл > Сохранить для браузеров...
exportSelection,FALSE,menu,20,,File > Export Selection...,Datei > Auswahl exportieren …,Файл > Экспортировать выделенные элементы...
Package Menu Item,FALSE,menu,,,File > Package,Datei > Verpacken …,Файл > Упаковать...
ai_browse_for_script,FALSE,menu,,,File > Scripts > Other Script...,Datei > Skripten > Anderes Skript …,Файл > Сценарии > Другой сценарий...
document,FALSE,menu,,,File > Document Setup...,Datei > Dokument einrichten …,Файл > Параметры документа...
